Algorithm	Min_Diff	Max_Diff
keras/dnn	-0.049382716049382935	0.03396809058157446
mlr/h2o.randomForest	-0.12962962962962998	0.037878787878787956
mlr/mlp	-0.023301183136617998	0.06790123456790109
mlr/xgboost	-0.08333333333333293	0.03345342254246053
sklearn/decision_tree	-0.17901234567901192	0.03703703703703709
sklearn/logistic_regression	-0.08029850533293048	0.06790123456790109
sklearn/svm	-0.14197530864197494	0.03945707070707094
weka/HoeffdingTree	-0.4905528761418285	0.0018726591760299671
weka/MultilayerPerceptron	-0.044603336738168076	0.030864197530864
weka/SimpleLogistic	-0.03658536585365846	0.04320987654321007
